tns_name,sub_num,repeater_name,catalog1_flag,is_repeater,lof_median_rank,eif_score,knn_median_rank,cblof_score,subspace_score,cad_median_rank
FRB20181116B,0,,1,False,391.0,0.466857872034281,580.0,1.8067999060248785,3206.76,887.0
FRB20181117C,0,,1,False,1561.0,0.45983859819154715,860.0,1.4043302005924607,2079.12,3621.0
FRB20181117A,0,,1,False,252.0,0.4894529604324954,389.0,2.3484685827504483,2936.36,1037.0
FRB20181117B,0,,1,False,3891.0,0.3852915730194241,3566.0,1.0828886811425968,598.32,3416.0
FRB20181117B,1,,1,False,2510.0,0.37530447790073124,2268.0,1.3295301281799166,2768.32,3343.0
FRB20181118A,0,,1,False,525.0,0.487632378283345,455.0,2.1133231575427183,2814.6,292.0
FRB20181118B,0,,1,False,3404.0,0.39145831911663453,3263.0,0.8721542744100177,680.2,1651.0
FRB20181118C,0,FRB20180814A,1,True,719.0,0.454246436837988,2175.0,1.4890947036416218,3687.8,2329.0
FRB20181118C,1,FRB20180814A,1,True,909.0,0.45216309519955905,2238.0,1.6169894863037864,3742.46,1686.0
FRB20181119B,0,,1,False,398.0,0.5201230204260863,117.0,3.504906789394164,3281.74,90.0
FRB20181119E,0,,1,False,2760.0,0.4384220588525984,2532.0,1.259754493165288,774.86,3782.0
FRB20181119D,0,,1,False,1076.0,0.46442555660164697,849.0,1.7647723465020273,2469.12,615.0
FRB20181119D,1,,1,False,12.0,0.5920624228505358,36.0,3.495227397921728,4093.6,29.0
FRB20181119D,2,,1,False,1108.0,0.4391330301530037,1039.0,1.8147343968015235,2366.86,815.0
FRB20181119A,0,FRB20181119A,1,True,2914.0,0.3993957954669107,3529.0,0.946403136410393,1251.34,1787.0
FRB20181119C,0,,1,False,1091.0,0.4481867135891444,1062.0,1.5700121994865226,1779.9,1734.0
FRB20181120B,0,FRB20180916B,1,True,2706.0,0.41008982108974673,1735.0,1.048248058805879,1641.66,3333.0
FRB20181120C,0,FRB20180814A,1,True,2466.0,0.47538822024704347,1824.0,0.9245771108892619,1239.02,3514.0
FRB20181122A,0,,1,False,2160.0,0.39940278506613874,3072.0,1.3305968847713965,2222.52,1199.0
FRB20181122B,0,,1,False,1926.0,0.5079362687430645,444.0,3.0482295522571383,1586.3,57.0
FRB20181123A,0,,1,False,3634.0,0.3845628117809056,3854.0,1.1253626056948038,433.5,3542.0
FRB20181124B,0,,1,False,746.0,0.5309837165909245,296.0,2.5543512457028736,2968.2,259.0
FRB20181124A,0,,1,False,3507.0,0.4061320450874863,2934.0,0.5933715225623003,1219.48,3814.0
FRB20181125A,0,,1,False,3295.0,0.39258757771774344,3551.0,1.115862882735764,1717.02,2345.0
FRB20181125A,1,,1,False,3471.0,0.38967152047663106,3419.0,0.8694304606189011,1484.64,2840.0
FRB20181126A,0,,1,False,1345.0,0.42987775340368967,1141.0,1.06487440477921,1814.16,851.0
FRB20181127A,0,,1,False,3598.0,0.3821523589581582,3736.0,0.7882124343298579,509.36,3267.0
FRB20181128A,0,FRB20181128A,1,True,3309.0,0.39640271659139753,2326.0,1.1998705293074319,977.22,2549.0
FRB20181128A,1,FRB20181128A,1,True,1568.0,0.3943034841525496,1914.0,1.705439461540045,2791.1,3275.0
FRB20181128B,0,,1,False,1285.0,0.4602485706473638,1146.0,1.485196154226518,1989.5,1470.0
FRB20181128D,0,,1,False,237.0,0.5254305570721862,183.0,2.981165730856615,3563.22,257.0
FRB20181128C,0,,1,False,3227.0,0.38498645326421105,3194.0,0.9821717938675618,1728.2,2888.0
FRB20181128C,1,,1,False,372.0,0.4245824099360123,1044.0,1.9006083882826441,2639.1,1217.0
FRB20181129A,0,,1,False,3678.0,0.3971982667329135,3325.0,0.9174423515129707,1140.06,1088.0
FRB20181129B,0,,1,False,361.0,0.4161564409385216,1461.0,1.7276719418724182,3594.64,814.0
FRB20181129C,0,,1,False,3871.0,0.4041177230124629,3153.0,0.9519837890783739,1039.78,3550.0
FRB20181130A,0,,1,False,2145.0,0.4159300048202442,2879.0,1.1191552664924902,2118.84,2142.0
FRB20181201A,0,,1,False,609.0,0.46279077676499414,488.0,1.4958667951459883,2935.38,315.0
FRB20181201D,0,FRB20181201D,0,True,758.0,0.4490156168073808,978.0,1.6289909148716124,2719.02,1038.0
FRB20181201B,0,,1,False,3845.0,0.41437015803260924,3395.0,0.7961658046008226,588.8,3324.0
FRB20181202A,0,,1,False,3270.0,0.40936916839138654,2552.0,0.7031242883289147,1074.18,1598.0
FRB20181202B,0,,1,False,3767.0,0.39055952766998375,3296.0,1.249847486178004,1242.32,3865.0
FRB20181202C,0,,1,False,4085.0,0.3860086617682929,3659.0,0.7658521662502096,572.24,2983.0
FRB20181203A,0,,1,False,2219.0,0.42895267949473426,1088.0,1.3450721787685196,2569.44,3005.0
FRB20181203B,0,,1,False,3198.0,0.4068011327106572,1877.0,1.1270463509027835,1047.96,3505.0
FRB20181203C,0,,1,False,723.0,0.4909466063486167,778.0,1.9368229119123461,2941.94,2498.0
FRB20181213A,0,,1,False,3226.0,0.43055323550509267,2516.0,0.6976346876983589,607.26,2635.0
FRB20181213B,0,,1,False,3631.0,0.4006889003970864,2490.0,0.8421233138744263,1018.46,3937.0
FRB20181213C,0,,1,False,2224.0,0.41195709729912566,2131.0,1.160565812339235,2881.04,732.0
FRB20181214A,0,,1,False,2129.0,0.4409527760227686,3156.0,1.1636896182755236,2343.68,1882.0
FRB20181214B,0,,1,False,2909.0,0.4187235940923207,3148.0,1.2836000173873199,1339.28,2582.0
FRB20181214C,0,,1,False,3806.0,0.4050534115803539,3248.0,1.1073164702417968,664.44,3511.0
FRB20181214D,0,,1,False,1079.0,0.44273080430169603,931.0,1.45924838633304,2410.74,3239.0
FRB20181214F,0,,1,False,503.0,0.48958750331204565,926.0,1.7044681563893864,3365.02,1248.0
FRB20181215A,0,,1,False,335.0,0.5129349831816262,376.0,2.051875209403391,3031.76,781.0
FRB20181215B,0,,1,False,2446.0,0.41976818279705364,2402.0,1.3990614607697278,2668.2,1340.0
FRB20181216A,0,,1,False,2177.0,0.4190732855399158,2094.0,1.5402865382575042,2008.76,3135.0
FRB20181217A,0,,1,False,3147.0,0.4072076614778051,2980.0,0.7116258325578779,880.12,3987.0
FRB20181218A,0,,1,False,806.0,0.4565936684154776,1424.0,1.5185027918413019,2685.42,1777.0
FRB20181218B,0,,1,False,1430.0,0.4546072033502886,1532.0,1.7321924080193882,1812.56,2617.0
FRB20181218C,0,,1,False,713.0,0.4367964833832993,1308.0,1.8188110399260262,2633.76,1367.0
FRB20181219B,0,,1,False,265.0,0.5192719519357493,194.0,2.3252622667879326,3787.36,1913.0
FRB20181219C,0,,1,False,1988.0,0.4155729501172013,1541.0,1.5713047215548976,1837.74,3101.0
FRB20181219A,0,FRB20181128A,1,True,1617.0,0.3834464341070727,1728.0,1.6822527894736705,2740.98,2177.0
FRB20181220A,0,,1,False,1858.0,0.4204964608526088,2344.0,1.405378926226644,2218.24,1904.0
FRB20181220B,0,,1,False,1817.0,0.41189627630544606,1932.0,1.5377279870179608,1877.54,1251.0
FRB20181221A,0,,1,False,2995.0,0.3918044198483068,2982.0,1.2750129224786786,1179.06,3138.0
FRB20181221B,0,,1,False,1620.0,0.408280883886717,2288.0,1.347813018827462,1592.56,3372.0
