Name,is_repeater,RpName,DMfitb,Widthfitb,Scat,Flux,Fluence,SpInd,spRun,Fpk,Bandwidth
FRB20190111A,False,-9999,171.96819,0.000438,0.000535,3.6,17.0,7.91,-23.3,474.4,249.50000000000006
FRB20190111A,False,-9999,171.96819,0.00079,0.000535,3.6,17.0,-2.3,-5.8,400.2,235.59999999999997
FRB20190111B,False,-9999,1336.9271,0.00016,0.000199,0.32,0.78,1.9,-17.2,422.5,208.90000000000003
FRB20190112A,False,-9999,425.8474,0.00164,0.01101,1.4,16.2,57.1,-51.4,697.7,235.60000000000002
FRB20190113A,False,-9999,428.924,0.00182,0.0022,1.3,5.6,7.3,-2.8,800.2,308.30000000000007
FRB20190114A,False,-9999,887.392,0.00134,0.00038,0.55,2.3,11.1,-89.0,425.8,99.80000000000001
FRB20190115A,False,-9999,1021.684,0.00089,0.0012,0.46,0.95,0.9,-3.2,457.2,400.00000000000006
FRB20190115B,False,-9999,748.293,0.00155,0.0018,1.45,5.2,1.85,-6.9,457.5,400.00000000000006
FRB20190116E,False,-9999,1491.0006,0.000607,0.00072,0.46,1.12,0.1,-0.1,660.5,400.00000000000006
FRB20190116D,False,-9999,1164.025,0.00104,0.00392,0.51,4.7,-1.1,-3.1,400.2,400.00000000000006
FRB20190116A,True,FRB20190116B,445.48,0.00554,0.0075,0.32,3.7,27.7,-29.8,636.8,317.90000000000003
FRB20190116B,True,FRB20190116B,443.549,0.00173,0.0021,0.46,2.0,20.7,-54.7,483.6,193.59999999999997
FRB20190116C,False,-9999,629.27648,0.0007082,0.00072,28.0,65.0,15.36,-14.81,672.1,347.1
FRB20190116F,False,-9999,316.9203,0.00123,0.0015,0.49,1.54,3.6,-3.8,637.5,400.00000000000006
FRB20190117C,False,-9999,865.9008,0.00077,0.00098,0.42,0.79,9.9,-10.2,648.6,396.90000000000003
FRB20190117D,False,-9999,1178.063,0.00126,0.000405,0.78,3.5,0.4,-4.3,419.2,400.00000000000006
FRB20190117A,True,FRB20190117A,393.3602,0.001494,0.0015,2.5,9.9,55.6,-117.0,507.6,142.89999999999998
FRB20190118B,False,-9999,670.89,0.0037,0.0194,0.31,3.62,13.8,-14.4,645.0,367.6
FRB20190118A,False,-9999,225.10795,0.00014,0.0002824,9.3,18.0,19.42,-56.71,474.9,180.7
FRB20190121A,False,-9999,425.3534,0.00108,0.00334,1.7,10.8,4.5,-8.39,523.2,400.00000000000006
FRB20190122B,False,-9999,469.565,0.00192,0.0028,0.41,1.75,2.8,-2.3,737.5,400.00000000000006
FRB20190122C,False,-9999,689.902,0.00176,0.00010367,4.2,47.0,1.5,-4.8,466.7,400.00000000000006
FRB20190122C,False,-9999,689.902,0.0018,0.00010367,4.2,47.0,7.38,-12.89,532.8,400.00000000000006
FRB20190122C,False,-9999,689.902,0.00294,0.00010367,4.2,47.0,4.2,-13.1,469.5,314.09999999999997
FRB20190122C,False,-9999,689.902,0.0089,0.00010367,4.2,47.0,-2.0,-4.0,400.2,269.3
FRB20190122C,False,-9999,689.902,0.00141,0.00010367,4.2,47.0,1.5,-3.5,492.6,400.00000000000006
FRB20190122C,False,-9999,689.902,0.005,0.00010367,4.2,47.0,-1.4,-4.4,400.2,314.90000000000003
FRB20190122A,False,-9999,1231.21,0.0055,0.0371,0.327,5.7,0.8,-0.7,694.2,400.00000000000006
FRB20190124A,False,-9999,1275.853,0.00227,0.0223,0.61,13.4,4.13,-7.37,529.5,400.00000000000006
FRB20190124B,False,-9999,441.3838,0.0015,0.00706,0.97,11.7,0.8,-4.88,434.2,400.00000000000006
FRB20190124C,False,-9999,303.644,0.000291,0.000668,2.5,13.7,0.42,-3.54,424.6,400.00000000000006
FRB20190124C,False,-9999,303.644,0.001773,0.000668,2.5,13.7,1.31,-8.59,431.9,324.7
FRB20190124D,False,-9999,340.12,0.0005,0.00097,0.5,1.9,0.1,-9.9,402.1,250.8
FRB20190124E,False,-9999,617.79,0.00574,0.0075,0.64,7.3,9.1,-10.2,625.6,400.00000000000006
FRB20190124F,False,-9999,254.7903,0.000733,0.000164,3.9,6.4,2.05,-16.6,425.6,217.2
FRB20190125A,False,-9999,564.701,0.00321,0.0041,0.37,2.6,36.0,-37.0,655.5,290.1
FRB20190125B,False,-9999,178.238,0.00247,0.00095,0.83,4.7,5.7,-6.8,609.9,400.00000000000006
FRB20190126A,True,FRB20180916B,350.0017,0.00208,0.0023,0.7,3.6,51.1,-64.4,595.4,226.59999999999997
FRB20190127B,False,-9999,663.028,0.0025,0.0428,0.63,11.4,5.3,-7.7,562.2,400.00000000000006
FRB20190128A,False,-9999,696.117,0.00185,0.0022,0.58,2.0,-1.5,-2.5,400.2,400.00000000000006
FRB20190128B,False,-9999,248.2302,0.000603,0.000208,0.81,1.64,5.3,-10.3,515.9,400.00000000000006
FRB20190128C,False,-9999,310.622,0.00616,0.0076,0.71,5.9,22.6,-55.0,491.6,202.60000000000002
