type,strength,method,mean_rec,std_rec
D_subspace,2.0,eif,0.11000000000000001,0.04183300132670377
D_subspace,2.0,knn,0.65,0.07071067811865475
D_subspace,2.0,lof,0.6900000000000001,0.06519202405202651
D_subspace,2.0,subspace,0.54,0.11937336386313319
D_subspace,2.0,subspace_max,0.8699999999999999,0.06708203932499365
E_contextual,0.25,cad,0.0,0.0
E_contextual,0.25,cblof,0.030000000000000006,0.0447213595499958
E_contextual,0.25,eif,0.01,0.0223606797749979
E_contextual,0.25,knn,0.030000000000000006,0.027386127875258306
E_contextual,0.25,lof,0.05,0.06123724356957945
E_contextual,0.25,subspace,0.01,0.0223606797749979
E_contextual,0.25,subspace_max,0.05,0.03535533905932738
E_contextual,0.5,cad,0.0,0.0
E_contextual,0.5,cblof,0.01,0.0223606797749979
E_contextual,0.5,eif,0.01,0.0223606797749979
E_contextual,0.5,knn,0.030000000000000006,0.0447213595499958
E_contextual,0.5,lof,0.030000000000000006,0.0447213595499958
E_contextual,0.5,subspace,0.04,0.022360679774997897
E_contextual,0.5,subspace_max,0.15,0.03535533905932738
E_contextual,0.75,cad,0.06,0.0651920240520265
E_contextual,0.75,cblof,0.05,0.03535533905932738
E_contextual,0.75,eif,0.04,0.041833001326703784
E_contextual,0.75,knn,0.13,0.057008771254956896
E_contextual,0.75,lof,0.14,0.05477225575051661
E_contextual,0.75,subspace,0.08,0.0670820393249937
E_contextual,0.75,subspace_max,0.39,0.14317821063276354
E_contextual,1.0,cad,0.26,0.08215838362577489
E_contextual,1.0,cblof,0.09,0.054772255750516606
E_contextual,1.0,eif,0.13,0.04472135954999579
E_contextual,1.0,knn,0.19,0.041833001326703784
E_contextual,1.0,lof,0.22999999999999998,0.0570087712549569
E_contextual,1.0,subspace,0.22999999999999998,0.04472135954999577
E_contextual,1.0,subspace_max,0.5900000000000001,0.151657508881031
E_contextual,1.5,cad,0.53,0.0670820393249937
E_contextual,1.5,cblof,0.5,0.1118033988749895
E_contextual,1.5,eif,0.48,0.1036822067666386
E_contextual,1.5,knn,0.78,0.09746794344808964
E_contextual,1.5,lof,0.79,0.04183300132670377
E_contextual,1.5,subspace,0.86,0.06519202405202644
E_contextual,1.5,subspace_max,0.9,0.07905694150420946
E_contextual,2.0,cad,0.79,0.12449899597988737
E_contextual,2.0,cblof,0.73,0.10954451150103324
E_contextual,2.0,eif,0.74,0.15165750888103102
E_contextual,2.0,knn,0.89,0.04183300132670378
E_contextual,2.0,lof,0.9099999999999999,0.04183300132670377
E_contextual,2.0,subspace,0.9,0.05000000000000001
E_contextual,2.0,subspace_max,0.95,0.05
